_geo,business_name,job_roles,title,salary_from,salary_to,postal_code
"[38.9342776, -77.1774801]", Northern Plumbing and Softening,"['Admin-Clerical', 'Construction', 'Customer Service', 'Design', 'General Business', 'General Labor', 'Installation-Maint-Repair', 'Management', 'Research', 'Sales', 'Security', 'Skilled Labor', 'Strategy-Planning', 'Supply Chain', 'Training', 'Transportation', 'Warehouse']",Journeyman Plumber,72800.0,83200.0,55432
"[33.8358492, -118.3406288]",12 Outdoors,"['Management', 'Marketing', 'Retail', 'Sales']",State Director,,,37701
"[33.6694649, -117.8231107]",1819 News,['Media-Journalism'],Reporter,,,35243
"[33.6694649, -117.8231107]",208 Companies LLC,['Accounting'],Accountant,,,83814
"[33.8358492, -118.3406288]",300 Financial Group,"['Consultant', 'Education', 'Entry Level', 'Insurance', 'Marketing', 'Other', 'Professional Services', 'Sales', 'Training']",Financial Services,,,
"[33.6694649, -117.8231107]",300 Financial Group,"['Customer Service', 'Finance', 'Insurance', 'Professional Services', 'Sales']",Financial Services/Work From Home/Sales,,,
"[46.7323875, -117.0001651]",300FInancial Group,"['Accounting', 'Business Development', 'Consultant', 'Customer Service', 'Education', 'Entry Level', 'Executive', 'Finance', 'General Business', 'Human Resources', 'Insurance', 'Management', 'Other', 'Professional Services', 'Training']","work from home, remote",,,
"[47.6776832, -116.7804664]",33 Carpenters Construction,"['Business Development', 'Construction', 'Consultant', 'Customer Service', 'Installation-Maint-Repair', 'Management', 'Sales']",Sales Project Manager,30000.0,200000.0,60115
"[41.850033, -87.6500523]",3LP Fresh Foods,"['Customer Service', 'Distribution-Shipping', 'Entry Level', 'General Business', 'General Labor', 'Grocery', 'Inventory', 'Supply Chain', 'Transportation']",Local Farm Food Driver,41600.0,41600.0,98057
"[33.4483771, -112.0740373]",4Site Advisors,"['Admin-Clerical', 'Construction', 'Executive', 'Management']",Construction Project Manager - Owners Rep,95000.0,118000.0,
"[33.4483771, -112.0740373]",A2A Integrated Logistics Inc,"['Health Care', 'Professional Services']",Surgical Technologist,62400.0,70720.0,55417
"[33.4483771, -112.0740373]",Absolute Air,"['Installation-Maint-Repair', 'Skilled Labor']",HVAC Service Technician,,,75142
"[33.4483771, -112.0740373]",Absolute Electric LLC,"['Customer Service', 'Installation-Maint-Repair', 'Skilled Labor']",Residential Service Electrician,37440.0,37440.0,20164
"[33.4483771, -112.0740373]",Access Transmission,['Automotive'],Automotive Transmission Rebuilder,80000.0,100000.0,78247
"[33.4483771, -112.0740373]",ADCO Distributors Inc,['Warehouse'],Assistant Warehouse Manager ,40000.0,55000.0,44702
"[33.4483771, -112.0740373]",ADCO Distributors Inc,['Warehouse'],Warehouse Manager ,55000.0,70000.0,44702
"[39.5349112, -119.7526886]",Advancing Alternatives,"['Accounting', 'Customer Service', 'Distribution-Shipping', 'Installation-Maint-Repair', 'Sales']",Inside Technical Sales & CSR,48880.0,52000.0,17603
"[45.1823423, -122.8078718]",Advancing Alternatives,"['Marketing', 'Sales']",Ecommerce Manager,,,17603
"[45.1823423, -122.8078718]",Advancing Alternatives,"['Customer Service', 'Sales']",Customer Service Representative,41600.0,45760.0,17603
"[39.9975415, -85.7466439]",Advantage Marketing National Printing Broker,"['Professional Services', 'Sales']",Printing Sales Representative,,,
"[43.6121087, -116.3915131]",AEM Mechanical Services,['Installation-Maint-Repair'],"Heating, Ventilation, Air Conditioning and Refrigeration Technician ",37440.0,62400.0,
"[32.7830556, -96.8066667]",All Saints LLC dba Ava Wanas Montessori School,['Education'],Teacher's Aide,27040.0,27040.0,21771
"[33.6356618, -96.6088805]",Allergy Solutions,['Health Care'],Registered Nurse (RN),74880.0,74880.0,80906
"[26.1223084, -80.1433786]",Alliance Defending Freedom,['Legal'],Senior Facilities Assistant,,,
"[33.0198431, -96.6988856]",Alliance Defending Freedom,['Legal'],"Senior Counsel, Parental Rights Advocacy",,,
"[26.9297836, -82.0453664]",Alliance Defending Freedom,['Legal'],"Senior Counsel, Center for Life",,,85260
"[45.4262617, -117.2787815]",Alliance Defending Freedom,['Legal'],"Senior Counsel, Center for Academic Freedom",,,
"[37.8397626, -94.7082951]",Alliance Defending Freedom,['Legal'],Senior Counsel,,,
"[37.8397626, -94.7082951]",Alliance Defending Freedom,"['Information Technology', 'QA-Quality Control']",Quality Assurance Analyst,,,85260
"[25.8631515, -80.1928253]",Alliance Defending Freedom,['Admin-Clerical'],Project Coordinator,,,85260
,Alliance Defending Freedom,['Legal'],Paralegal,,,
,Alliance Defending Freedom,['Marketing'],On-Air Fundraising Coordinator,,,85260
,Alliance Defending Freedom,['Information Technology'],Network Engineer,,,85260
,Alliance Defending Freedom,"['Legal', 'Nonprofit-Social Services']","Legal Counsel, Center for Life",,,
,Alliance Defending Freedom,['Legal'],"Legal Counsel, Center for Legislative Advocacy",,,
,Alliance Defending Freedom,['Legal'],"Legal Counsel, Center for Christian Ministries",,,
,Alliance Defending Freedom,['Legal'],"Legal Counsel, Allied Organization/Support CMA Legal Program",,,85260-2769
"[29.7030024, -98.1244531]",Alliance Defending Freedom,['Legal'],Legal Counsel,,,
,Alliance Defending Freedom,"['Admin-Clerical', 'Legal']",Legal Administrative Assistant,,,
"[37.247206, -112.664377]",Alliance Defending Freedom,"['Admin-Clerical', 'Human Resources', 'Legal', 'Marketing', 'Nonprofit-Social Services']",Internship,,,85260-2769
"[30.267153, -97.7430608]",Alliance Defending Freedom,"['Marketing', 'Other', 'Strategy-Planning']",Internal Communications Director,,,
"[45.3565074, -122.840098]",Alliance Defending Freedom,"['Information Technology', 'Training']",IT Trainer,,,
"[32.7830556, -96.8066667]",Alliance Defending Freedom,['Information Technology'],IT Project Manager,,,
,Alliance Defending Freedom,"['Admin-Clerical', 'Human Resources']",HR Staffing Assistant,,,85260-2769
"[43.4252776, -88.1834277]",Alliance Defending Freedom,['Admin-Clerical'],Executive Assistant,,,
"[43.6121087, -116.3915131]",Alliance Defending Freedom,"['Admin-Clerical', 'Entry Level', 'Other']","Executive Administrator, Office of the CEO & President",,,
"[43.6121087, -116.3915131]",Alliance Defending Freedom,['Other'],Event Coordinator,,,
"[46.7323875, -117.0001651]",Alliance Defending Freedom,"['Entry Level', 'Other']",Event Registration Assistant,,,
"[43.0605671, -88.1064787]",Alliance Defending Freedom,"['Entry Level', 'Information Technology']",Data Specialist,,,85260-2769
"[46.7323875, -117.0001651]",Alliance Defending Freedom,"['Entry Level', 'Nonprofit-Social Services', 'Other']",Director of Transformational Partnerships,,,
"[34.6890095, -82.1956679]",Alpha & Omega Computer & Network Service Inc,"['Customer Service', 'Information Technology', 'Installation-Maint-Repair', 'Professional Services', 'Security']",Service Desk Technician II,62500.0,72500.0,92648
