address1,address2,business_name,country_code,id,job_roles,job_summary,job_type,pay_period,pay_structure,postal_code,posted_datetime,qualifications,remote_type,responsibilities,tags,title,_geo,city,region,salary_from,salary_to
,,"Delta Defense, LLC",US,8527,['Sales'],"Are you ready for a career you can BELIEVE in?Do you have a strong belief in the 2nd Amendment?Do you support the natural-born right to armed self-defense?Do you believe in the mission of the U.S. Concealed Carry Association (USCCA)?The USCCA helps responsible Americans avoid danger, save lives, and keep their families safe.Delta Defense, LLC is the private company that provides Marketing, Operations and Customer Service for the USCCA.Why YOU should Work at Delta Defense!We are a fun, fast-paced, and rewarding place to work and grow!Milwaukee Business Journal “Best Place to Work” award 6 years in a row!Named on Inc. 5000 “Fastest Growing Private Companies” list 11 years in a row!Milwaukee Journal Sentinel “Top Workplace” award 7 years in a row!Top Workplaces USA award in 2022!Position Summary:Retention Specialists are responsible for speaking with members of the USCCA who are looking to cancel their membership. Through needs analysis, the Retention Specialist will work with current USCCA members to overcome objections and reinstate the value of the USCCA membership. The ultimate goal of the Retention Specialist is to retain the caller as a member and fill any additional needs they may have.",['Full-time'],annual,salary,,1688677003,"High school diploma or equivalent required.1 year+ of retention-specific sales experience preferred.Required to pass and maintain Producer Property and Casualty License. Paid Training is provided for all hires.Excellent communication skills with the ability to quickly establish rapport with people.Strong conflict resolution skills and able to remain calm in stressful situations.Relentless follow-through and ability to balance multiple priorities.Posses a high level of professionalism and confidentiality.Confident, competitive and dependable.Demonstrates the Core Values of Delta Defense, LLC.This is a full time 40 hours/week position, 8 hour shifts between 7:00am - 7:00pm CST, Monday through Friday, with rotating weekends.This position can be performed in our beautiful headquarters in West Bend, WI or remotely.",Remote,"Prevent cancellation of services by offering alternative solutions during inbound calls.Develop and implement customer retention strategies to increase loyalty and retain business.Be clear, confident, concise and professional on the phone.Deepen member relationships through needs assessment.Ensure consistent follow up with customers as needed.Coach, mentor and train other teammates as needed.",[],Retention Specialist - Remote Optional,,,,,
,,Thruxton Contracting,US,8526,"['Construction', 'Skilled Labor']","Who We AreThruxton Contracting is not your average construction company. Westrive not only to provide the best possible product for our clients but also to provide the best possiblecareer for each team member. Everything we do flows out of our commitment to respect the client, respect the crew, and respect the company. What you canachieve is limited only by your goals, and the motivation you have to accomplish them.Who We're Looking ForWe need an experienced carpenter looking to make a career here in Moscow, Idaho. This person should have an extensive history in general construction, framing, and finish carpentry. What we're looking for is someone with the knowledge and skill to build a house by themselves from start to finish and with the ability to lead a crew to do it.Benefits&amp; PayDirect Primary Care included (for you and your immediate family)2 weeks of paid vacation per yearPaid off holidays: Christmas, Thanksgiving, Good Friday, and 4th of July.For the right candidate, the opportunity to partner with the business long-term.Responsibilities &amp;RequirementsCan frame a house with minimal direction from plansProvides quality assurance in framing projectsExperience and skill in managing and leading peopleTake responsibility and ownership of each site managedManage time and budget constraints3+ years of construction experience minimum, but the more the better!",['Full-time'],annual,salary,,1688675329,nan,Location-based,nan,[],Carpentry Lead ,"[46.7323875, -117.0001651]",Moscow,ID,,
8811 Front Beach Rd,,Heritage Lock,US,4827,"['Automotive', 'General Labor', 'Installation-Maint-Repair', 'Other', 'Security', 'Skilled Labor']","We're growing and so can your career! Joinour team to unlock your potential.ABOUT US: We are the leading residential and resort locksmith provider on Florida's Emerald Coast! Heritage Lock (dba A to Z Lock &amp; Safe and Resorts Locksmith Services) is growing rapidly. We currently have 4 locations in the panhandle of Florida: Mary Esther, Destin, Santa Rosa Beach and Panama City Beach.JOB DESCRIPTION:Locksmiths perform work including installing and repairing all types of commercial and residential lock hardware, rekeying and master keying of lock cylinders of all kinds, automotive key making including programming transponder keys and remotes.Locksmithing &gt;5 years experience. Wage dependent on experience. We offer PTO (after 90 days), 401(k) matching, and health insurance reimbursement.LOCATIONS:A to Z Lock &amp; Safe - Mary Esther, FLA to Z Lock &amp; Safe - Destin, FLA to Z Lock &amp; Safe - Panama City Beach, FL(hiring immediately)Resorts Locksmith Services – Santa Rosa Beach, FL",['Full-time'],hourly,salary,32407,1688671853,"REQUIRED:Education: A high school diploma or the equivalent is required.Other: A valid Florida Driver’s License is required. The scope of the position may require nighttime, holiday, and/or weekend work to respond to emergencies. The ability to read the English language sufficiently to understand written work orders and instructions as well as directions for the proper mixture, use, and disposal/storage of cleaners, solvents, paints, and comparable products used in mechanical services is required.1+ year experience as a Locksmith or Safe Technician.",Location-based,"Installing and repairing both residential and commercial hardware, rekeying and master keying locks, cutting and identifying keys, installing and replacing door control hardware, making entry to locked areas through picking or other means.",[],Locksmith,"[30.1765914, -85.8054879]",Panama City Beach,FL,41600.0,62400.0
1445-A Laughlin Ave. ,"McLean, VA","Chain Bridge Bank, N.A.",US,8525,[],"Performs and assists in all activities in the Operations Department of the Bank including, but not limited to, check processing, reconciliations, ACH transactions, wire transfers, research and adjustments, ATM and debit card processing, digital and mobile banking, remote and mobile deposit, Zelle transaction, Treasury Management services, and BSA (Bank Secrecy Act) compliance.",['Full-time'],annual,salary,22101,1688668069,"Minimum Education: Bachelor’s Degree.Minimum Experience: 3 years of deposit operations.Knowledge of Bank Secrecy Act, Patriot Act, OFAC rules, NACHA procedures and deposit regulations, including specifically Federal Reserve Regulations CC, DD, E, and J. Familiarity with Zelle Network Participation Rules would be a plus.Preferred Experience: Specific knowledge of back office deposit",Hybrid,"Assist clients on various platforms offered by the Bank, including, but not limited to, online and mobile banking, Bill Pay, remote deposit capture, mobile deposit, lockbox, wire transfers, ACH transfers, Zelle transfers, and debit cards.Work exception items and fraud suspects.Provide hands-on assistance, as needed, for all Operations Department functions.Support commercial clients in the use of remote deposit capture and Treasury Management services.Process and verify wire transfers, traditional and same day ACH transactions, Zelle transactions, debit card payments, Real Time Payments (RTP), and other transactions.Monitor reports as assigned. Perform lockbox, positive pay and image cash letter processing.Work with other Bank employees to resolve client requests and discrepancies related to deposit operations.Assist in preparation and research pertaining to auditing, examinations, and monitoring requests.Provide client support for the Bank’s digital products and services.Lead projects as assigned by Operations Manager or Director of Operations.Pick up mail at the Post Office.Perform other related duties as assigned or requested.",[],Deposit Operations Specialist,"[38.9342776, -77.1774801]",McLean,VA,,
21515 Hawthorne Blvd Suite 226,,The Legacy Lawyers,US,8521,['Legal'],"Position: Litigation ParalegalLaw Firm: The Legacy Lawyers, P.C.Culture: As supportive ""America-First Patriots,"" we place the utmost importance on God, family, and country. Our culture is shaped by merit-based promotions, unwavering integrity, and exceptional client service. We exude positivity, embrace action, and readily adapt to any environment in order to reach the goal of our clients. Join our team of litigators to flourish and contribute towards making the world a better place.Compensation: $53,000 to $91,000 (Full Time)Location: Torrance, CA Office (No Remote Work)Minimum Qualifications: Paralegal CertificationWe see every day as one more chance to create a lifelong difference in the lives of our clients. We are a fast growing high-conflict estate, trust, and conservatorship litigation law firm with offices in Torrance and Irvine, California.We believe in building relationships, getting stuff done, brightening each other's work spaces, working with integrity and serving our clients with the best care and dedication possible while maintaining our own personal sense of honor, dignity, and self-respect.As a litigation paralegal, you will be teamed-up with an attorney and jointly responsible for an assigned caseload. You will have regular contact with our clients, opposing counsel, and court clerks.",['Full-time'],annual,salary,90503,1688661933,"Completed a Certified Paralegal ProgramAbility to work independently and as a part of a teamSelf-motivated, highly organized, and detail-orientedStrong verbal and written communication skillsAbility to multitask and meet deadlines in a fast-paced office environmentMust be able to type 40-words per minuteMust be an excellent listenerComputer skills including proficiency in Google Suite",Location-based,"Guiding clients through legal matters with written and telephone updatesDrafting discovery plansIssuing subpoenasDrafting and responding to form interrogatories, special interrogatories, requests for admissions, and requests to produce documents and propertySummarizing discovery responsesWriting correspondenceDrafting petitions, notices, and motionsOrganizing documentsMaintaining client filesManaging the litigation calendarChecking probate notes and preparing supplementsFaxing, filing, and e-filing documents in probate courts located in Orange County, Riverside County, San Bernardino County, Los Angeles County, and Ventura CountyAssisting attorneys with related work tasks",[],Litigation Paralegal ,"[33.8358492, -118.3406288]",Torrance,CA,53000.0,91000.0
"18872 MacArthur Boulevard, Suite 300","Irvine, California 92612",The Legacy Lawyers,US,8520,['Legal'],"Position: Probate ParalegalLaw Firm: The Legacy Lawyers, P.C.Culture: As supportive ""America-First Patriots,"" we place the utmost importance on God, family, and country. Our culture is shaped by merit-based promotions, unwavering integrity, and exceptional client service. We exude positivity, embrace action, and readily adapt to any environment in order to reach the goal of our clients. Join our team of litigators to flourish and contribute towards making the world a better place.Compensation: $53,000 to $91,000 (Full Time)Location: Irvine, CA Office (No Remote Work)Minimum Qualifications: Paralegal CertificationWe see every day as one more chance to create a lifelong difference in the lives of our clients. We are a fast growing high-conflict estate, trust, and conservatorship litigation law firm with offices in Torrance and Irvine, California.We believe in building relationships, getting stuff done, brightening each other's work spaces, working with integrity and serving our clients with the best care and dedication possible while maintaining our own personal sense of honor, dignity, and self-respect.We will provide some training and all necessary resources to get the right paralegal candidate squarely on track towards becoming one of the most respected paralegals in California.",['Full-time'],annual,salary,92612,1688661743,"Completed a Certified Paralegal ProgramAbility to work independently and as a part of a teamSelf-motivated, highly organized, and detail-orientedStrong verbal and written communication skillsAbility to multitask and meet deadlines in a fast-paced office environmentMust be able to type 40-words per minuteMust be an excellent listenerComputer skills including proficiency in Google Suite",Location-based,"Processing probate administration cases from beginning to endGuiding clients in gathering and inventorying all of their assetsPreparing letters to clients and opposing counselPreparing accounts and reportsCalendaring hearing dates and scheduling court callsResearching probate issues as directedChecking probate notes and preparing supplementsFaxing, filing, and e-filing documents in probate courts located in Orange County, Riverside County, San Bernardino County, Los Angeles County, and Ventura CountyAssisting attorneys with related work tasks",[],Probate Paralegal,"[33.6694649, -117.8231107]",Irvine,CA,53000.0,91000.0
"18872 MacArthur Boulevard, Suite 300","Irvine, California 92612",The Legacy Lawyers,US,8519,['Legal'],"Position: Records SpecialistLaw Firm: The Legacy Lawyers, P.C.Culture: As supportive ""America-First Patriots,"" we place the utmost importance on God, family, and country. Our culture is shaped by merit-based promotions, unwavering integrity, and exceptional client service. We exude positivity, embrace action, and readily adapt to any environment in order to reach the goal of our clients. Join our team of litigators to flourish and contribute towards making the world a better place.Compensation: $21.85 per hour (Full Time)Location: Irvine, CA Office (No Remote Work)We see every day as one more chance to create a lifelong difference in the lives of our clients. We are a fast growing high-conflict estate, trust, and conservatorship litigation law firm with offices in Torrance and Irvine, California.We believe in building relationships, getting stuff done, brightening each other's work spaces, working with integrity and serving our clients with the best care and dedication possible while maintaining our own personal sense of honor, dignity, and self-respect.As a litigation paralegal, you will be teamed-up with an attorney and jointly responsible for an assigned caseload. You will have regular contact with our clients, opposing counsel, and court clerks.As a Records Specialist, you must be comfortable working with numbers. You must love math, and possess a high-degree of organizational skills and ability. These are essential core requirements, and since technology is used to expedite work, you must also possess the ability to learn computer-based systems quickly. Records Specialists work closely with attorneys, office staff, court clerks, attorney service companies, process servers, and deposition officers",['Full-time'],hourly,salary,92612,1688661173,"High school diploma (college degree a plus)Ability to work independently and as a part of a teamSelf-motivated, highly organized, and detail-orientedStrong verbal and written communication skillsAbility to multitask and meet deadlines in fast-paced office environmentExceptional ability to provide professional, efficient, and friendly client servicesComputer skills including proficiency in Google Suite",Location-based,"File various legal documents directly with the court using a computer-based platformAssist attorneys and other staff members as needed with administrative tasksScan and photocopy documentsOrganize, file, and e-file documentsMail and fax correspondence and other documents",[],Records Specialist,"[33.6694649, -117.8231107]",Irvine,CA,45448.0,45448.0
21515 Hawthorne Blvd Suite 226,,The Legacy Lawyers,US,8518,['Legal'],"Position: Associate AttorneyFirm: The Legacy Lawyers, P.C.Culture: As supportive ""America-First Patriots,"" we place the utmost importance on God, family, and country. Our culture is shaped by merit-based promotions, unwavering integrity, and exceptional client service. We exude positivity, embrace action, and readily adapt to any environment in order to reach the goal of our clients. Join our team of litigators to flourish and contribute towards making the world a better place.Compensation: Starting $102,705 - $206,815 (level up your career!)Ask us about our level up program and bonuses!We offer training and mentoring for our new hires!Location: Irvine, CA Office (No Remote Work)Minimum Qualifications: California State Bar LicenseWe see every day as one more chance to create a lifelong difference in the lives of our clients. We are a fast growing high-conflict estate, trust, and conservatorship litigation law firm with offices in Torrance and Irvine, California.We believe in building relationships, getting stuff done, brightening each other's work spaces, working with integrity and serving our clients with the best care and dedication possible while maintaining our own personal sense of honor, dignity, and self-respect.We foster a collaborative working environment with our attorneys at various stages of their own careers and where you will be assigned your own caseload, supervising attorney, and mentor.",['Full-time'],annual,salary,90503,1688660980,"Active California Bar member in good standingAbility to work independently and as a part of a teamSelf-motivated, highly organized, and detail-orientedStrong verbal and written communication skillsPossess effective research and writing skillsAbility to multitask and meet deadlines in a fast-paced office environmentExceptional ability to provide professional, efficient, and friendly client servicesComputer skills including proficiency in Google Suite",Location-based,"Work closely with firm members and clients (in writing, in person, and by telephone) to determine and modify client goals and case strategies,Collect evidence to support your client’s positionAnswer client questions about law, facts, procedures, and case statusGuide clients through probate, and trust and conservatorship administration and litigation mattersConduct legal research, draft memos, and develop strategiesDraft status reports, discovery plans, client letters, opinion letters, demand letters, settlement proposals, petitions, declarations, motions, and settlement &amp; trial briefsConduct and defend depositions (of parties, third party witnesses, and experts)Propound and respond to form and special interrogatories, requests for documents, and requests for admissionSubpoena records from third parties and witnesses scheduled to appear at trialSummarize discoveryMake court appearancesParticipate in settlement conferences, present evidence, advise clients on the strengths and weaknesses of their cases, and analyze probable outcomesHandle bench trials (when ready)",[],Attorney,"[33.8358492, -118.3406288]",Torrance,CA,102705.0,206815.0
"18872 MacArthur Boulevard, Suite 300","Irvine, California 92612",The Legacy Lawyers,US,8517,['Legal'],"Position: Associate AttorneyFirm: The Legacy Lawyers, P.C.Culture: As supportive ""America-First Patriots,"" we place the utmost importance on God, family, and country. Our culture is shaped by merit-based promotions, unwavering integrity, and exceptional client service. We exude positivity, embrace action, and readily adapt to any environment in order to reach the goal of our clients. Join our team of litigators to flourish and contribute towards making the world a better place.Compensation: Starting $102,705 - $206,815 (level up your career!)Ask us about our level up program and bonuses!We offer training and mentoring for our new hires!Location: Irvine, CA Office (No Remote Work)We see every day as one more chance to create a lifelong difference in the lives of our clients. We are a fast growing high-conflict estate, trust, and conservatorship litigation law firm with offices in Torrance and Irvine, California.We believe in building relationships, getting stuff done, brightening each other's work spaces, working with integrity and serving our clients with the best care and dedication possible while maintaining our own personal sense of honor, dignity, and self-respect.We foster a collaborative working environment with our attorneys at various stages of their own careers and where you will be assigned your own caseload, supervising attorney, and mentor.",['Full-time'],annual,salary,92612,1688660817,"Active California Bar member in good standingAbility to work independently and as a part of a teamSelf-motivated, highly organized, and detail-orientedStrong verbal and written communication skillsPossess effective research and writing skillsAbility to multitask and meet deadlines in a fast-paced office environmentExceptional ability to provide professional, efficient, and friendly client servicesComputer skills including proficiency in Google Suite",Location-based,"Work closely with firm members and clients (in writing, in person, and by telephone) to determine and modify client goals and case strategies,Collect evidence to support your client’s positionAnswer client questions about law, facts, procedures, and case statusGuide clients through probate, and trust and conservatorship administration and litigation mattersConduct legal research, draft memos, and develop strategiesDraft status reports, discovery plans, client letters, opinion letters, demand letters, settlement proposals, petitions, declarations, motions, and settlement &amp; trial briefsConduct and defend depositions (of parties, third party witnesses, and experts)Propound and respond to form and special interrogatories, requests for documents, and requests for admissionSubpoena records from third parties and witnesses scheduled to appear at trialSummarize discoveryMake court appearancesParticipate in settlement conferences, present evidence, advise clients on the strengths and weaknesses of their cases, and analyze probable outcomesHandle bench trials (when ready)",[],Attorney,"[33.6694649, -117.8231107]",Irvine,CA,102705.0,206815.0
,,RedBalloon LLC,US,8516,"['Admin-Clerical', 'Customer Service', 'Entry Level']","We're hiring! All over the country, a new kind of workplace is emerging. Employees are rediscovering the joy of work. Employers are pioneering new businesses that prioritize freedom. RedBalloon broke records in 2022 by becoming the largest pro-freedom job board in the country.We're expanding in 2023 and need a cheerful part-time Customer Service Representative to help us serve businesses and jobseekers that share RedBalloon’s values.What We’re Looking ForIf you...Are cheerful, smart, and responsibleHave excellent written and verbal communication skillsHave a passion for people and solving problemsTake direction and learn quicklyHave prior experience in a customer-facing role (preferred not required)Have flexible morning and afternoon availability between 8am-4pm...you might be a great fit for this role!ResponsibilitiesAnswer phone calls from job seekers and employers using RedBalloonRespond to customer email requestsWork with Customer Service Team to troubleshoot customer issuesPerform minimal data entry and other administrative dutiesWhat We Offer$12-15 Hourly wage DOEFun, energetic office culture based on Christian valuesExciting opportunities to grow with a rapidly growing company",['Part-time'],hourly,salary,,1688658077,nan,Location-based,nan,[],Junior Customer Service Representative,"[46.7323875, -117.0001651]",Moscow,ID,24960.0,31200.0
